AppID,testStage,hipaaCompliant,usBased,FullName_FirstParty,FullName_ThirdParty,Email_FirstParty,Email_ThirdParty,DOB_FirstParty,DOB_ThirdParty,DeviceID_FirstParty,DeviceID_ThirdParty,Gender_FirstParty,Gender_ThirdParty,Phone_FirstParty,Phone_ThirdParty,IPAddress_FirstParty,IPAddress_ThirdParty,Fingerprint_FirstParty,Fingerprint_ThirdParty,Location_FirstParty,Location_ThirdParty,MedicalInfo_FirstParty,MedicalInfo_ThirdParty
com.ada.app,1,0,0,{'api.mobile.ada'},set(),{'api.mobile.ada'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),{'api.mobile.ada'},set(),set(),set()
com.remente.app,2,0,1,set(),"{'remente-hq.firebaseio', 'www.googleapis'}",set(),"{'remente-hq.firebaseio', 'www.googleapis'}",set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.ninety8point6.patientapp,3,1,1,{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),{'production-rest-api.98point6'},set(),set(),{'android.apis.google'},set(),set(),"{'production-auth.98point6', 'production-rest-api.98point6'}",set(),set(),set(),set(),set(),{'production-rest-api.98point6'},set(),set(),set()
sg.hidoc.visit,3,0,0,set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),{'nsumedyh-android.mobile-messenger.intercom'},set(),set(),set(),set(),set(),set(),set(),set()
ai.rimads.avey,3,0,0,set(),set(),set(),set(),set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
ai.mayamd.mayamd,3,0,1,"{'chatbot.mayamd', 'api.mayamdai'}",set(),{'api.mayamdai'},set(),set(),set(),set(),"{'android.googleapis', 'android.apis.google'}","{'chatbot.mayamd', 'mayaengine.mayamd', 'api.mayamdai'}",set(),"{'chatbot.mayamd', 'api.mayamdai'}",set(),set(),set(),set(),set(),"{'chatbot.mayamd', 'mayaengine.mayamd', 'api.mayamdai'}",{'maps.googleapis'},set(),set()
controllers.marham.marhammed,3,0,0,{'www.marham'},{'api.mixpanel'},{'www.marham'},{'api.mixpanel'},set(),set(),set(),{'android.apis.google'},{'www.marham'},{'.app-measurement'},{'www.marham'},"{'api.mixpanel', 'push.dengage'}",set(),set(),set(),set(),set(),{'firebaselogging-pa.googleapis'},set(),set()
ai.kanghealth,0,1,1,set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
com.goodrx,3,0,1,"{'api.heydoctor', 'graph.goodrx', 'sso.identity.goodrx'}",{'ssl.google-analytics'},"{'api.heydoctor', 'graph.goodrx', 'sso.identity.goodrx'}",{'ssl.google-analytics'},set(),set(),set(),{'android.apis.google'},set(),set(),set(),set(),set(),set(),set(),set(),{'www.goodrx'},{'api2.branch'},set(),set()
com.media365ltd.doctime,1,0,0,{'api.doctime'},set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set(),{'api.doctime'},set(),set(),set(),set(),set(),set(),set(),set(),set()
com.medintu.MedintuIN,3,0,0,{'api.medintu'},{'lumberjack.razorpay'},{'api.medintu'},{'lumberjack.razorpay'},{'api.medintu'},set(),set(),{'android.apis.google'},{'api.medintu'},set(),{'api.medintu'},{'lumberjack.razorpay'},set(),set(),set(),set(),set(),set(),set(),set()
com.patient.myhealthathand,3,0,0,{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),{'android.googleapis'},set(),{'api.mixpanel'},{'app-api.myhealthathand'},{'api.mixpanel'},set(),set(),set(),set(),set(),"{'t.appsflyer', 'events.appsflyer'}",set(),set()
